t_min,t_max
52874.2486392,52874.2540795
52874.2610466,52874.2680031
52875.0021577,52875.0023461
52875.0106877,52875.0124387
52875.2124355,52875.219392
52875.2255373,52875.2324939
52875.2365095,52875.2434661
52875.2591255,52875.266082
52875.267644,52875.2746006
52875.7330488,52875.7402398
52875.9535466,52875.9605032
52875.9620651,52875.9690217
52875.9705836,52875.9750287
52876.8841136,52876.884302
52877.0587781,52877.0657346
52877.0672966,52877.0742532
52877.0758151,52877.0827717
52877.2701092,52877.2702972
52877.2786379,52877.2803887
52878.1475977,52878.1545543
52878.1561162,52878.1630728
52878.1646347,52878.1715913
52878.1731532,52878.1801098
52878.1816718,52878.1886283
52878.1901903,52878.1971468
52878.7522851,52878.7524732
52878.8079795,52878.8097302
52881.1532921,52881.153308
52884.1871925,52884.1941491
52884.195711,52884.2026676
52884.2042295,52884.2110009
52884.2522155,52884.259172
52884.4776207,52884.4778091
52884.4941718,52884.4959224
52885.045931,52885.0528876
52885.0544495,52885.0614061
52885.0629681,52885.0699246
52885.0746114,52885.081568
52894.4964984,52894.4982491
52897.2116025,52897.2185621
52902.6911047,52902.6911206
52903.1834414,52903.1910954
52920.1852484,52920.192205
52920.1979451,52920.2049017
52920.2064636,52920.2134202
52920.2149821,52920.2219387
52920.2235007,52920.2304572
52920.2320192,52920.2389757
52926.9643808,52926.9713373
52926.9728993,52926.9771592
52926.9882349,52926.9951914
52927.0719734,52927.0774599
52927.093073,52927.1000296
52927.1015915,52927.1085481
52927.1782697,52927.1852262
52927.1867882,52927.1937448
52927.1953067,52927.2032933
52927.8283856,52927.8327959
52928.0697282,52928.0766848
52928.0782467,52928.0840098
52928.0961978,52928.1031544
52928.7146237,52928.720504
52928.8674597,52928.8744162
52928.8759782,52928.8818003
52928.8939874,52928.900944
52928.9987326,52929.0056892
52929.0072511,52929.0142077
52929.0265104,52929.033467
52929.1105497,52929.1200066
52929.1231193,52929.1306662
52929.1322282,52929.142657
52929.7863252,52929.7922055
52929.9395545,52929.9454348
52930.1149363,52930.1208166
52930.5191726,52930.5250525
52930.85511,52930.8609888
52930.9818345,52930.9877148
52931.0485245,52931.0544044
52931.1819041,52931.187784
52944.07739,52944.0845807
52948.0862441,52948.0920436
52956.8874715,52956.8932707
52960.489173,52960.4961322
52960.9428534,52960.9498099
52960.9513719,52960.9576803
52960.9923996,52960.9993548
52961.0929574,52961.0931459
52961.1018697,52961.1036192
52964.0141034,52964.0184559
52971.9703534,52971.9773099
52971.9788719,52971.986604
52971.988166,52971.9985948
52972.03099,52972.0379466
52972.0395085,52972.0485022
52972.0500641,52972.0604929
52972.2898789,52972.2968381
52972.6491497,52972.6561062
52972.6576682,52972.6646248
52972.7024252,52972.7093818
52972.81371,52972.8141644
52972.8160478,52972.8165022
52976.6460252,52976.6460407
52982.7831062,52982.7900636
52982.7919741,52982.7989293
52982.8014071,52982.8083636
52988.8042541,52988.8112107
52988.8127726,52988.8197292
52988.8212911,52988.8282481
52988.8621826,52988.8691392
52992.5983515,52992.6053081
52992.6650297,52992.6719862
52992.6735482,52992.6805048
52992.8651108,52992.8720673
52992.9317889,52992.9387455
52992.9403074,52992.947264
52995.9969974,52996.0030281
52999.0228189,52999.0271714
53001.8818004,53001.8861529
53001.9552726,53001.9596251
53004.3382589,53004.3385048
53010.8546713,53010.8607034
53012.1231553,53012.130809
53012.854359,53012.8603897
53017.7398913,53017.7468478
53017.7848683,53017.7918249
53017.8005509,53017.8075075
53018.8171135,53018.8231441
53023.9767202,53023.980783
53025.9260024,53025.9304127
53026.1355279,53026.1415586
53027.2429005,53027.2469634
53027.9094053,53027.9134682
53029.7107016,53029.715343
53031.7537687,53031.7607253
53031.7622872,53031.7692438
53031.7708057,53031.7777623
53032.6596713,53032.6657019
53037.8583872,53037.8644175
53042.9554242,53042.9558786
53042.957762,53042.9582164
53043.7511416,53043.7580982
53043.7596602,53043.7666167
53043.7681787,53043.7760267
53045.5345909,53045.5415475
53045.5431094,53045.550066
53045.5516279,53045.5585845
53046.4849031,53046.4918597
53046.534232,53046.5411886
53046.5427505,53046.5497071
53046.6008987,53046.6078553
53046.6094172,53046.6163738
53046.8075768,53046.8145334
53046.8169057,53046.8238623
53046.8654472,53046.8724038
53046.875725,53046.8826815
53047.4847876,53047.4917442
53047.5341161,53047.541073
53047.5426346,53047.5495912
53047.6007828,53047.6077397
53047.6093013,53047.6162579
53048.4846372,53048.4915938
53048.5339657,53048.5409223
53048.5424842,53048.5494408
53048.6006209,53048.6075775
53048.6091394,53048.616096
53050.6456902,53050.6457048
53055.9030976,53055.9102869
53056.5392668,53056.5462234
53056.5951809,53056.6021361
53056.6036994,53056.610656
53056.6627968,53056.6697534
53057.7294402,53057.7354708
53067.4551928,53067.4612234
53068.7399962,53068.7457954
53068.9228088,53068.928608
53069.1257951,53069.1315943
53069.8105518,53069.8163509
53069.8924618,53069.8982609
53070.1069407,53070.1127398
53077.7743829,53077.7813395
53077.7940473,53077.8010039
53077.8071722,53077.8141291
53079.393434,53079.3994646
53083.1218136,53083.1290621
53083.8533992,53083.8603558
53083.8663158,53083.8706913
53083.877427,53083.8843835
53089.9383181,53089.9452747
53089.947184,53089.9541406
53089.9557025,53089.9626591
53091.5228092,53091.5297657
53091.5313277,53091.5382842
53091.5410151,53091.5479716
53091.6129132,53091.6189439
53099.0533995,53099.0571179
53099.4422188,53099.4496965
53099.454881,53099.4626594
53099.4664551,53099.4734002
53099.4780291,53099.4856802
53099.4896032,53099.500032
53099.501594,53099.5100091
53099.6381795,53099.6486083
53099.6501703,53099.6595576
53099.6611195,53099.670275
53113.5242558,53113.5302865
53130.0621848,53130.0626391
53130.0655525,53130.0660073
53130.1304137,53130.134361
53131.0557033,53131.0711091
53147.5148355,53147.5208662
53149.803597,53149.8107877
53151.8922544,53151.9042691
53151.9572751,53151.9579803
53151.9611652,53151.9612928
53151.9638735,53151.9699043
53161.8782963,53161.8784843
53161.8872081,53161.8889591
53165.5954603,53165.6012017
53165.6657152,53165.6663058
53169.4616759,53169.4649892
53169.5282844,53169.531598
53176.2502989,53176.2605081
53196.7278918,53196.7379272
53202.0815493,53202.0832973
53202.164466,53202.178367
53202.1799276,53202.1938273
53202.3276952,53202.3415962
53203.8646278,53203.8780662
53203.9707045,53203.9837373
53204.5429148,53204.5468608
53216.4591648,53216.4596192
53216.460473,53216.4609273
53221.4601026,53221.469594
53226.1777878,53226.1847444
53231.0313182,53231.0324877
53231.0340726,53231.0468166
53231.0966423,53231.110254
53231.1633437,53231.1769555
53231.3776956,53231.3842933
53234.0907741,53234.0977307
53236.9724178,53236.9883214
53237.603435,53237.6047229
53237.6720356,53237.672224
53243.4020704,53243.403357
53243.4706586,53243.4708466
53249.61273,53249.6171403
53255.0158667,53255.020277
53257.7910638,53257.7991782
53258.4640849,53258.4684952
53258.5524861,53258.5568967
53258.6726727,53258.677083
53259.3524398,53259.35685
53260.8852768,53260.889687
53263.8530431,53263.8597682
53267.0180431,53267.0224533
53267.8047097,53267.8058793
53267.8074645,53267.8223496
53267.8721749,53267.8878126
53267.9387608,53267.9543982
53268.4706008,53268.4750111
53269.0226034,53269.0288656
53270.5287838,53270.5331941
53271.4696983,53271.4741085
53272.8640501,53272.8652193
53272.8668045,53272.8816896
53272.9319205,53272.9475578
53272.9954968,53273.0094211
53287.8132402,53287.8176505
53301.7831594,53301.7875693
53302.2005783,53302.2049886
53304.7206594,53304.7250697
53306.4450805,53306.4494908
53307.5414579,53307.5458682
53309.8700113,53309.8760419
53310.5348491,53310.5392593
53310.6018168,53310.6062268
53313.6412842,53313.6493982
53315.3749769,53315.376149
53315.3767247,53315.3773179
53315.4387847,53315.4425031
53317.3810532,53317.3854635
53320.0681365,53320.0725468
53320.3214469,53320.3258568
53320.6007639,53320.6051742
53321.1796295,53321.1840398
53321.3214006,53321.3258109
53322.3874535,53322.3918638
53323.6654747,53323.6698846
53325.3148728,53325.3291442
53328.3176043,53328.3220142
53329.7648032,53329.7729172
53330.8668173,53330.8712275
53337.5498728,53337.5503501
53337.5522569,53337.5527346
53338.499861,53338.4998768
53338.5012269,53338.5014149
53338.5269443,53338.5319764
53338.5707161,53338.5754764
53338.5884013,53338.5884172
53338.5897671,53338.5899557
53340.3109606,53340.3153709
53343.3879517,53343.392362
53343.5051047,53343.5109025
53343.7393176,53343.7451168
53343.994688,53344.0004872
53344.2751276,53344.2809255
53344.4084032,53344.4142024
53344.5429632,53344.5487624
53352.7233454,53352.7277557
53357.1776973,53357.1821072
53367.2348962,53367.2393064
53385.1602092,53385.1646194
53387.7330896,53387.737267
53388.5322462,53388.536425
53391.574804,53391.5790639
53393.863091,53393.8673509
53394.3302092,53394.334388
53394.8636351,53394.8678139
53397.1966792,53397.200858
53414.4000246,53414.4081386
53414.8307076,53414.834886
53417.1513557,53417.1557657
53418.1528024,53418.1572127
53429.3541798,53429.3585897
53430.2879991,53430.2924094
53430.3539713,53430.3583816
53430.8289946,53430.8334049
53433.1308465,53433.1352564
53433.2217606,53433.2261708
53437.9234509,53437.9237522
53437.9265064,53437.9330115
53443.961599,53443.9657778
53478.1280923,53478.1334055
53478.1936593,53478.1940185
53478.314076,53478.3190651
53478.3464371,53478.3471436
53480.0230115,53480.0284505
53480.1001412,53480.1003848
53480.5802223,53480.5859403
53480.593243,53480.5936022
53481.8107315,53481.8107577
53482.9015186,53482.9179788
53483.8048404,53483.8048666
53484.1832663,53484.1882437
53484.2491575,53484.249864
53484.9434745,53484.9488107
53484.9554886,53484.955674
53485.1172245,53485.1172507
53487.9458241,53487.9458503
53488.1166226,53488.1166488
53488.9442386,53488.9442636
53489.8165419,53489.8170774
53490.0165419,53490.0170774
53490.2188449,53490.2193803
53490.4164837,53490.4170192
53499.5402223,53499.5406999
53499.5423289,53499.5428062
53500.2767038,53500.2808826
53500.5239375,53500.5281149
53507.4575949,53507.4662877
53507.526993,53507.53601
53508.9781041,53508.9784055
53508.9796204,53508.9857088
53511.1838224,53511.1925152
53511.2560675,53511.2650845
53511.3805353,53511.3892278
53511.4455238,53511.4545404
53511.5121905,53511.5212071
